"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4245171476","Junior Platform and Compute Engineer","b3JnOjE4MDU5OQ==","Logicalis","https://www.linkedin.com/company/logicalis/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4245171476"
"4234254987","Data Engineer e-Health (m/w/d)","b3JnOjI5MzAxMTQ2","CompuGroup Medical Italia Group","https://www.linkedin.com/company/compugroupmedicalitaliagroup/life","","","-","Heidelberg, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4234254987"
"4164111774","Senior DBA (Data Platforms Engineer)","b3JnOjE1NjMzMjE4NQ==","Advania UK","https://www.linkedin.com/company/advania-uk/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4164111774"
"4241191343","Technical Information Developer","b3JnOjE2OTg0Mg==","ACI Worldwide","https://www.linkedin.com/company/aci-worldwide/life","","","-","City of Cape Town, Western Cape, South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4241191343"
"4244492270","Database Engineer","b3JnOjE5NzY3NjE=","Capitec","https://www.linkedin.com/company/capitec-bank/life","","","-","Stellenbosch, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4244492270"
"4222243084","Implementation Engineer","b3JnOjE1MDg2MDI=","impact.com","https://www.linkedin.com/company/impactdotcom/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4222243084"
"4248741161","Data Engineer","b3JnOjkwNDI5OTYz","Ikue","https://www.linkedin.com/company/ikue-limited/life","","","-","Cape Town, Western Cape, South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4248741161"
"4244033507","Site Reliability Engineer MMH250602-2","b3JnOjEzMjcwMA==","Momentum","https://www.linkedin.com/company/momentum_2/life","","","-","Centurion, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4244033507"
"4242227076","Product Data Engineer","b3JnOjE2Njk4ODEyOA==","Capitec Client Care","https://www.linkedin.com/company/capitechelpcenter/life","","","-","Stellenbosch, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4242227076"
"4248075604","DataOps Engineer","b3JnOjEzMTk1MQ==","takealot.com","https://www.linkedin.com/company/takealot/life","","","-","Cape Town, Western Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4248075604"
"4235498914","Senior Test Engineer","b3JnOjExMjU0Mjc0","Vista Group","https://www.linkedin.com/company/vista-group-limited/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4235498914"
"4230677164","Data Engineer","b3JnOjEyNzQz","Tech Mahindra","https://www.linkedin.com/company/tech-mahindra/life","","","-","Pretoria, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4230677164"
"4214709236","Junior DevOps Engineer (DBN)","b3JnOjk2Njc0MjM2","BETSoftware","https://www.linkedin.com/company/betsoftware/life","","","-","Durban, KwaZulu-Natal, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4214709236"
"4210761268","Data Engineer – Senior Consultant – AWS","b3JnOjE2MjQ3","Deloitte","https://www.linkedin.com/company/deloitte/life","","","-","Johannesburg, Gauteng, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4210761268"
"4231899833","Linux Engineer","b3JnOjgyMTc2NjY4","Understanding Solutions","https://www.linkedin.com/company/understanding-solutions/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4231899833"
"4220539565","Personal and Private Banking (PPB) Data Engineer Graduate Programme","b3JnOjE2NTExOQ==","Standard Bank Group","https://www.linkedin.com/company/standard-bank-group/life","","","-","Johannesburg, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4220539565"
"4234987092","SATIC - Data Migration Consultant (Senior Associate) - Durban","b3JnOjgwNTQwOTg3","PwC Careers Africa","https://www.linkedin.com/company/pwc-careers-africa/life","","","-","Durban, KwaZulu-Natal, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4234987092"
"4247416875","DevOps Engineer","b3JnOjM5NjYyOQ==","Tiko","https://www.linkedin.com/company/tikoafrica/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247416875"
